yr,season,tod,Cover,herd,strength,ID
2019,winter,night,Forest,FOGO,0.176470588235294,FO2017012
2019,winter,night,Forest,FOGO,0,FO2017014
2016,spring,night,Lichen,FOGO,0,FO2016002
2016,spring,night,Lichen,FOGO,0.0192307692307692,FO2016003
2016,spring,night,Lichen,FOGO,0.0192307692307692,FO2016004
2016,spring,night,Lichen,FOGO,0.0222222222222222,FO2016005
2016,spring,night,Lichen,FOGO,0,FO2016007
2016,spring,night,Lichen,FOGO,0.0434782608695652,FO2016008
2016,spring,night,Lichen,FOGO,0.0208333333333333,FO2016009
2016,spring,night,Lichen,FOGO,0,FO2016010
2016,spring,night,Lichen,FOGO,0,FO2016012
2016,spring,night,Lichen,FOGO,0.0657004830917875,FO2016013
2016,spring,night,Lichen,FOGO,0.0208333333333333,FO2016015
2016,spring,day,Lichen,FOGO,0,FO2016002
2016,spring,day,Lichen,FOGO,0.029940119760479,FO2016003
2016,spring,day,Lichen,FOGO,0.029940119760479,FO2016004
2016,spring,day,Lichen,FOGO,0.0261437908496732,FO2016005
2016,spring,day,Lichen,FOGO,0,FO2016007
2016,spring,day,Lichen,FOGO,0.0152671755725191,FO2016008
2016,spring,day,Lichen,FOGO,0,FO2016009
2016,spring,day,Lichen,FOGO,0,FO2016010
2016,spring,day,Lichen,FOGO,0,FO2016012
2016,spring,day,Lichen,FOGO,0.0414109664221923,FO2016013
2016,spring,day,Lichen,FOGO,0,FO2016015
2017,winter,night,Lichen,FOGO,0.430355300532432,FO2016002
2017,winter,night,Lichen,FOGO,0.422535378534743,FO2016003
2017,winter,night,Lichen,FOGO,0.564538360233945,FO2016004
2017,winter,night,Lichen,FOGO,0.465044979564208,FO2016005
2017,winter,night,Lichen,FOGO,0.486327901917228,FO2016008
2017,winter,night,Lichen,FOGO,0.585719741977148,FO2016010
2017,winter,night,Lichen,FOGO,0.630256696938561,FO2016012
2017,winter,night,Lichen,FOGO,0.0920299202521838,FO2016013
2017,winter,day,Lichen,FOGO,0.39195141530537,FO2016002
2017,winter,day,Lichen,FOGO,0.327639484890691,FO2016003
2017,winter,day,Lichen,FOGO,0.451969992298585,FO2016004
2017,winter,day,Lichen,FOGO,0.301213172033161,FO2016005
2017,winter,day,Lichen,FOGO,0.501194654461286,FO2016008
2017,winter,day,Lichen,FOGO,0.60303125620409,FO2016010
2017,winter,day,Lichen,FOGO,0.550130029396793,FO2016012
2017,winter,day,Lichen,FOGO,0.0981758433371337,FO2016013
2017,spring,night,Lichen,FOGO,0.170238095238095,FO2016002
2017,spring,night,Lichen,FOGO,0,FO2016003
2017,spring,night,Lichen,FOGO,0,FO2016004
2017,spring,night,Lichen,FOGO,0.0149253731343284,FO2016005
2017,spring,night,Lichen,FOGO,0.0438095238095238,FO2016008
2017,spring,night,Lichen,FOGO,0.0319148936170213,FO2016010
2017,spring,night,Lichen,FOGO,0.025,FO2016012
2017,spring,night,Lichen,FOGO,0.0645161290322581,FO2016013
2017,spring,night,Lichen,FOGO,0,FO2017001
2017,spring,night,Lichen,FOGO,0.161554732945531,FO2017003
2017,spring,night,Lichen,FOGO,0.0422095652078942,FO2017004
2017,spring,night,Lichen,FOGO,0.0794415021665864,FO2017006
2017,spring,night,Lichen,FOGO,0.158319185059423,FO2017007
2017,spring,night,Lichen,FOGO,0.189075630252101,FO2017008
2017,spring,night,Lichen,FOGO,0.187647058823529,FO2017009
2017,spring,night,Lichen,FOGO,0.0319148936170213,FO2017011
2017,spring,night,Lichen,FOGO,0.225352112676056,FO2017012
2017,spring,night,Lichen,FOGO,0.238010340524158,FO2017014
2017,spring,day,Lichen,FOGO,0.177364785423416,FO2016002
2017,spring,day,Lichen,FOGO,0.0116959064327485,FO2016003
2017,spring,day,Lichen,FOGO,0.0116959064327485,FO2016004
2017,spring,day,Lichen,FOGO,0.0270999115826702,FO2016005
2017,spring,day,Lichen,FOGO,0.0373831775700935,FO2016008
2017,spring,day,Lichen,FOGO,0.0437956204379562,FO2016010
2017,spring,day,Lichen,FOGO,0.0287836839062304,FO2016012
2017,spring,day,Lichen,FOGO,0.0810810810810811,FO2016013
2017,spring,day,Lichen,FOGO,0,FO2017001
2017,spring,day,Lichen,FOGO,0.312287197117451,FO2017003
2017,spring,day,Lichen,FOGO,0.0442205426511134,FO2017004
2017,spring,day,Lichen,FOGO,0.101770736253495,FO2017006
2017,spring,day,Lichen,FOGO,0.30540474592814,FO2017007
2017,spring,day,Lichen,FOGO,0.164861022281378,FO2017008
2017,spring,day,Lichen,FOGO,0.19987675621123,FO2017009
2017,spring,day,Lichen,FOGO,0.0437956204379562,FO2017011
2017,spring,day,Lichen,FOGO,0.159203980099502,FO2017012
2017,spring,day,Lichen,FOGO,0.159203980099502,FO2017014
2018,winter,night,Lichen,FOGO,0.456611630210951,FO2016002
2018,winter,night,Lichen,FOGO,0.729540808246639,FO2016004
2018,winter,night,Lichen,FOGO,0.866917562137168,FO2016005
2018,winter,night,Lichen,FOGO,0.682083271471433,FO2016010
2018,winter,night,Lichen,FOGO,0.949635451550981,FO2016012
2018,winter,night,Lichen,FOGO,0.224211945681719,FO2016013
2018,winter,night,Lichen,FOGO,0,FO2017001
2018,winter,night,Lichen,FOGO,0.925694711466964,FO2017003
2018,winter,night,Lichen,FOGO,0.281695201327854,FO2017004
2018,winter,night,Lichen,FOGO,0.861902821615103,FO2017006
2018,winter,night,Lichen,FOGO,0.876465467368411,FO2017007
2018,winter,night,Lichen,FOGO,0.988417642506171,FO2017008
2018,winter,night,Lichen,FOGO,0.721262212652098,FO2017009
2018,winter,night,Lichen,FOGO,1.05205427992385,FO2017012
2018,winter,night,Lichen,FOGO,0.762971067859983,FO2017014
2018,winter,day,Lichen,FOGO,0.373056446211506,FO2016002
2018,winter,day,Lichen,FOGO,0.4676021564919,FO2016004
2018,winter,day,Lichen,FOGO,0.676292184436992,FO2016005
2018,winter,day,Lichen,FOGO,0.573952275680611,FO2016010
2018,winter,day,Lichen,FOGO,1.00980877157371,FO2016012
2018,winter,day,Lichen,FOGO,0.161586149073678,FO2016013
2018,winter,day,Lichen,FOGO,0,FO2017001
2018,winter,day,Lichen,FOGO,0.912278790952779,FO2017003
2018,winter,day,Lichen,FOGO,0.150394206087275,FO2017004
2018,winter,day,Lichen,FOGO,0.930399580785438,FO2017006
2018,winter,day,Lichen,FOGO,1.119223738044,FO2017007
2018,winter,day,Lichen,FOGO,0.944503730125772,FO2017008
2018,winter,day,Lichen,FOGO,0.814045852629127,FO2017009
2018,winter,day,Lichen,FOGO,0.92496570982635,FO2017012
2018,winter,day,Lichen,FOGO,0.686674522957262,FO2017014
2018,spring,night,Lichen,FOGO,0,FO2016003
2018,spring,night,Lichen,FOGO,0,FO2017001
2018,spring,night,Lichen,FOGO,0,FO2017003
2018,spring,night,Lichen,FOGO,0,FO2017004
2018,spring,night,Lichen,FOGO,0,FO2017006
2018,spring,night,Lichen,FOGO,0.326162790697674,FO2017007
2018,spring,night,Lichen,FOGO,0,FO2017008
2018,spring,night,Lichen,FOGO,0,FO2017009
2018,spring,night,Lichen,FOGO,0.341666666666667,FO2017012
2018,spring,night,Lichen,FOGO,0.317829457364341,FO2017014
2018,spring,day,Lichen,FOGO,0,FO2016003
2018,spring,day,Lichen,FOGO,0,FO2017001
2018,spring,day,Lichen,FOGO,0,FO2017003
2018,spring,day,Lichen,FOGO,0,FO2017004
2018,spring,day,Lichen,FOGO,0.0126582278481013,FO2017006
2018,spring,day,Lichen,FOGO,0.24963924963925,FO2017007
2018,spring,day,Lichen,FOGO,0,FO2017008
2018,spring,day,Lichen,FOGO,0.0126582278481013,FO2017009
2018,spring,day,Lichen,FOGO,0.231944444444444,FO2017012
2018,spring,day,Lichen,FOGO,0.259361471861472,FO2017014
2019,winter,night,Lichen,FOGO,0.0529357374017568,FO2017001
2019,winter,night,Lichen,FOGO,0,FO2017004
2019,winter,night,Lichen,FOGO,0.0824742268041237,FO2017007
2019,winter,night,Lichen,FOGO,0.0948755136572395,FO2017008
2019,winter,night,Lichen,FOGO,0.100192203439949,FO2017009
2019,winter,night,Lichen,FOGO,0.0824742268041237,FO2017012
2019,winter,night,Lichen,FOGO,0,FO2017014
2019,winter,day,Lichen,FOGO,0.0863626100699932,FO2017001
2019,winter,day,Lichen,FOGO,0,FO2017004
2019,winter,day,Lichen,FOGO,0.0114942528735632,FO2017007
2019,winter,day,Lichen,FOGO,0.10856134157105,FO2017008
2019,winter,day,Lichen,FOGO,0.0687103594080338,FO2017009
2019,winter,day,Lichen,FOGO,0.0114942528735632,FO2017012
2019,winter,day,Lichen,FOGO,0,FO2017014
2009,spring,night,openMove,MIDRIDGE,0,mr2009a01
2009,spring,night,openMove,MIDRIDGE,0,mr2009a02
2009,spring,night,openMove,MIDRIDGE,0.00985221674876847,mr2009a03
2009,spring,night,openMove,MIDRIDGE,0.0209427121102248,mr2009a04
2009,spring,night,openMove,MIDRIDGE,0.0123456790123457,mr2009a06
2009,spring,night,openMove,MIDRIDGE,0,mr2009a07
2009,spring,night,openMove,MIDRIDGE,0,mr2009a08
2009,spring,night,openMove,MIDRIDGE,0.00588235294117647,mr2009a09
2009,spring,night,openMove,MIDRIDGE,0.0250806431447076,mr2009a11
2009,spring,night,openMove,MIDRIDGE,0,mr2009a13
2009,spring,night,openMove,MIDRIDGE,0,mr2009a14
2009,spring,night,openMove,MIDRIDGE,0,mr2009a15
2009,spring,night,openMove,MIDRIDGE,0.00588235294117647,mr2009a16
2009,spring,night,openMove,MIDRIDGE,0,mr2009a17
2009,spring,night,openMove,MIDRIDGE,0,mr2009a18
2009,spring,night,openMove,MIDRIDGE,0,mr2009a21
2009,spring,night,openMove,MIDRIDGE,0.0123456790123457,mr2009a24
2009,spring,night,openMove,MIDRIDGE,0.00571428571428571,mr2009a25
2009,spring,day,openMove,MIDRIDGE,0.00402628618599419,mr2009a01
2009,spring,day,openMove,MIDRIDGE,0.00235294117647059,mr2009a02
2009,spring,day,openMove,MIDRIDGE,0.001953125,mr2009a03
2009,spring,day,openMove,MIDRIDGE,0.0279004752585966,mr2009a04
2009,spring,day,openMove,MIDRIDGE,0.0135530892493106,mr2009a06
2009,spring,day,openMove,MIDRIDGE,0.00383899788155107,mr2009a07
2009,spring,day,openMove,MIDRIDGE,0.00198807157057654,mr2009a08
2009,spring,day,openMove,MIDRIDGE,0,mr2009a09
2009,spring,day,openMove,MIDRIDGE,0.0218664053806454,mr2009a11
2009,spring,day,openMove,MIDRIDGE,0.00298507462686567,mr2009a13
2009,spring,day,openMove,MIDRIDGE,0,mr2009a14
2009,spring,day,openMove,MIDRIDGE,0.00298507462686567,mr2009a15
2009,spring,day,openMove,MIDRIDGE,0.00209205020920502,mr2009a16
2009,spring,day,openMove,MIDRIDGE,0.00210526315789474,mr2009a17
2009,spring,day,openMove,MIDRIDGE,0.00726392251815981,mr2009a18
2009,spring,day,openMove,MIDRIDGE,0.0021551724137931,mr2009a21
2009,spring,day,openMove,MIDRIDGE,0,mr2009a24
2009,spring,day,openMove,MIDRIDGE,0.0143501611170784,mr2009a25
2009,spring,day,openMove,MIDRIDGE,0,mr2009a26
2009,spring,day,openMove,MIDRIDGE,0.00214592274678112,mr2009a27
2010,winter,night,openMove,MIDRIDGE,0.031055053025577,mr2009a03
2010,winter,night,openMove,MIDRIDGE,0,mr2009a04
2010,winter,night,openMove,MIDRIDGE,0.0175448633598413,mr2009a06
